Date,Open Price,Close Price,Adj Close Price,Volume
6/14/2019,1086.420044,1085.349976,1085.349976,1111500
6/17/2019,1086.280029,1092.5,1092.5,941600
6/18/2019,1109.689941,1103.599976,1103.599976,1386700
6/19/2019,1105.599976,1102.329956,1102.329956,1338800
6/20/2019,1119.98999,1111.420044,1111.420044,1262000
6/21/2019,1109.23999,1121.880005,1121.880005,1947600
6/24/2019,1119.609985,1115.52002,1115.52002,1395600
6/25/2019,1112.660034,1086.349976,1086.349976,1546900
6/26/2019,1086.5,1079.800049,1079.800049,1810900
6/27/2019,1084,1076.01001,1076.01001,1004300
6/28/2019,1076.390015,1080.910034,1080.910034,1693200
07-01-2019,1098,1097.949951,1097.949951,1436300
07-02-2019,1102.23999,1111.25,1111.25,991600
07-03-2019,1117.410034,1121.579956,1121.579956,767000
07-05-2019,1117.800049,1131.589966,1131.589966,1264300
07-08-2019,1125.170044,1116.349976,1116.349976,1236400
07-09-2019,1111.800049,1124.829956,1124.829956,1330400
07-10-2019,1131.219971,1140.47998,1140.47998,1209500
07-11-2019,1143.25,1144.209961,1144.209961,1195500
07-12-2019,1143.98999,1144.900024,1144.900024,864000
7/15/2019,1146.859985,1150.339966,1150.339966,903800
7/16/2019,1146,1153.579956,1153.579956,1238800
7/17/2019,1150.969971,1146.349976,1146.349976,1170000
7/18/2019,1141.73999,1146.329956,1146.329956,1291300
7/19/2019,1148.189941,1130.099976,1130.099976,1647200
7/22/2019,1133.449951,1138.069946,1138.069946,1301500
7/23/2019,1144,1146.209961,1146.209961,1093700
7/24/2019,1131.900024,1137.810059,1137.810059,1589800
7/25/2019,1137.819946,1132.119995,1132.119995,2209800
7/26/2019,1224.040039,1250.410034,1250.410034,4805800
7/29/2019,1241.050049,1239.410034,1239.410034,2223700
7/30/2019,1225.410034,1225.140015,1225.140015,1453300
7/31/2019,1223,1216.680054,1216.680054,1725500
08-01-2019,1214.030029,1209.01001,1209.01001,1698500
08-02-2019,1200.73999,1193.98999,1193.98999,1645100
08-05-2019,1170.040039,1152.319946,1152.319946,2597500
08-06-2019,1163.310059,1169.949951,1169.949951,1709400
08-07-2019,1156,1173.98999,1173.98999,1444300
08-08-2019,1182.829956,1204.800049,1204.800049,1468000
08-09-2019,1197.98999,1188.01001,1188.01001,1065700
08-12-2019,1179.209961,1174.709961,1174.709961,1003000
8/13/2019,1171.459961,1197.27002,1197.27002,1294400
8/14/2019,1176.310059,1164.290039,1164.290039,1578700
8/15/2019,1163.5,1167.26001,1167.26001,1218700
8/16/2019,1179.550049,1177.599976,1177.599976,1313300
8/19/2019,1190.089966,1198.449951,1198.449951,1231600
8/20/2019,1195.25,1182.689941,1182.689941,915500
8/21/2019,1193.150024,1191.25,1191.25,740700
8/22/2019,1194.069946,1189.530029,1189.530029,947500
8/23/2019,1181.98999,1151.290039,1151.290039,1687000
8/26/2019,1157.26001,1168.890015,1168.890015,1226100
8/27/2019,1180.530029,1167.839966,1167.839966,1077200
8/28/2019,1161.709961,1171.02002,1171.02002,802000
8/29/2019,1181.119995,1192.849976,1192.849976,1088400
8/30/2019,1198.5,1188.099976,1188.099976,1129800
09-03-2019,1177.030029,1168.390015,1168.390015,1479900
09-04-2019,1176.709961,1181.410034,1181.410034,1068900
09-05-2019,1191.530029,1211.380005,1211.380005,1408100
09-06-2019,1208.130005,1204.930054,1204.930054,1072100
09-09-2019,1204,1204.410034,1204.410034,1471900
09-10-2019,1195.150024,1206,1206,1260100
09-11-2019,1203.410034,1220.170044,1220.170044,1307000
09-12-2019,1224.300049,1234.25,1234.25,1725900
9/13/2019,1231.349976,1239.560059,1239.560059,1301400
9/16/2019,1229.52002,1231.300049,1231.300049,1053300
9/17/2019,1230.400024,1229.150024,1229.150024,955100
9/18/2019,1227.51001,1232.410034,1232.410034,1135100
9/19/2019,1232.060059,1238.709961,1238.709961,996000
9/20/2019,1233.119995,1229.930054,1229.930054,2270000
9/23/2019,1226,1234.030029,1234.030029,1062400
9/24/2019,1240,1218.76001,1218.76001,1583200
9/25/2019,1215.819946,1246.52002,1246.52002,1453000
9/26/2019,1241.959961,1241.390015,1241.390015,1538000
9/27/2019,1243.01001,1225.089966,1225.089966,1353900
9/30/2019,1220.969971,1219,1219,1404100
10-01-2019,1219,1205.099976,1205.099976,1273500
10-02-2019,1196.97998,1176.630005,1176.630005,1615100
10-03-2019,1180,1187.829956,1187.829956,1621200
10-04-2019,1191.890015,1209,1209,1162400
10-07-2019,1204.400024,1207.680054,1207.680054,842900
10-08-2019,1197.589966,1189.130005,1189.130005,1039300
10-09-2019,1199.349976,1202.310059,1202.310059,867700
10-10-2019,1198.579956,1208.670044,1208.670044,846600
10-11-2019,1222.209961,1215.449951,1215.449951,1272700
10/14/2019,1212.339966,1217.140015,1217.140015,867500
10/15/2019,1220.400024,1243.01001,1243.01001,1381700
10/16/2019,1241.170044,1243.640015,1243.640015,1094600
10/17/2019,1250.930054,1253.069946,1253.069946,952400
10/18/2019,1253.459961,1245.48999,1245.48999,1352800
10/21/2019,1252.26001,1246.150024,1246.150024,1027200
10/22/2019,1247.849976,1242.800049,1242.800049,1023800
10/23/2019,1242.359985,1259.130005,1259.130005,911500
10/24/2019,1260.900024,1260.98999,1260.98999,1028100
10/25/2019,1251.030029,1265.130005,1265.130005,1213100
10/28/2019,1275.449951,1290,1290,2613200
10/29/2019,1276.22998,1262.619995,1262.619995,1886400
10/30/2019,1252.969971,1261.290039,1261.290039,1408900
